,precision,recall,f1-score,support
0,0.7972972972972973,0.6555555555555556,0.7195121951219512,90.0
1,0.4375,1.0,0.6086956521739131,7.0
2,0.75,0.88125,0.8103448275862069,320.0
3,0.7371428571428571,0.5758928571428571,0.6466165413533834,224.0
accuracy,0.7441497659906396,0.7441497659906396,0.7441497659906396,0.7441497659906396
macro avg,0.6804850386100386,0.7781746031746032,0.6962923040588636,641.0
weighted avg,0.7487351899481385,0.7441497659906396,0.7381738178111342,641.0
