,precision,recall,f1-score,support
0,0.19805194805194806,0.6777777777777778,0.3065326633165829,90.0
1,0.0,0.0,0.0,7.0
2,0.7127659574468085,0.209375,0.32367149758454106,320.0
3,0.3891213389121339,0.41517857142857145,0.4017278617710583,224.0
accuracy,0.34477379095163807,0.34477379095163807,0.34477379095163807,0.34477379095163807
macro avg,0.3249848111027226,0.3255828373015873,0.25798300566804555,641.0
weighted avg,0.5196146047175851,0.34477379095163807,0.34500758184440355,641.0
