,precision,recall,f1-score,support
0,0.8115942028985508,0.6222222222222222,0.7044025157232704,90.0
1,0.3888888888888889,1.0,0.56,7.0
2,0.9904761904761905,0.325,0.4894117647058824,320.0
3,0.48775055679287305,0.9776785714285714,0.6508172362555721,224.0
accuracy,0.6021840873634945,0.6021840873634945,0.6021840873634945,0.6021840873634945
macro avg,0.6696774597641257,0.7312251984126984,0.6011578791711812,641.0
weighted avg,0.783111086048481,0.6021840873634945,0.5767723120783539,641.0
